x,y,z,e
f1000(u32),f1000(u32),f1000(u32),f1000(s64)
105.306,89.522,0.250,23.383
105.144,89.349,0.250,23.392
104.969,89.216,0.250,23.400
104.727,89.096,0.250,23.411
104.384,89.031,0.250,23.424
104.195,89.040,0.250,23.431
103.914,89.110,0.250,23.442
103.641,89.253,0.250,23.454
102.620,89.994,0.250,23.502
101.815,90.460,0.250,23.537
101.279,90.584,0.250,23.558
100.804,90.576,0.250,23.576
100.280,90.434,0.250,23.597
99.620,89.995,0.250,23.627
97.643,87.529,0.250,23.748
97.417,87.107,0.250,23.766
97.297,86.674,0.250,23.783
97.273,86.254,0.250,23.799
97.341,85.808,0.250,23.816
97.559,85.288,0.250,23.838
97.773,84.993,0.250,23.852
98.257,84.506,0.250,23.878
99.208,83.677,0.250,23.926
99.409,83.436,0.250,23.938
99.495,83.282,0.250,23.944
99.553,83.122,0.250,23.951
99.599,82.823,0.250,23.962
99.572,82.529,0.250,23.974
99.527,82.377,0.250,23.980
99.447,82.205,0.250,23.987
99.308,82.001,0.250,23.996
97.488,79.689,0.250,24.108
97.294,79.362,0.250,24.123
97.134,79.031,0.250,24.137
96.889,78.273,0.250,24.167
96.789,77.539,0.250,24.195
96.820,76.773,0.250,24.225
97.457,73.891,0.250,24.337
97.493,73.651,0.250,24.346
97.477,73.361,0.250,24.357
97.432,73.181,0.250,24.364
97.266,72.865,0.250,24.378
97.141,72.722,0.250,24.385
96.912,72.546,0.250,24.396
96.630,72.422,0.250,24.408
95.441,72.095,0.250,24.455
94.563,71.754,0.250,24.491
94.031,71.313,0.250,24.517
93.772,70.931,0.250,24.535
93.595,70.478,0.250,24.553
93.552,69.662,0.250,24.584
94.238,66.655,0.250,24.702
94.409,66.249,0.250,24.718
94.691,65.853,0.250,24.737
94.989,65.584,0.250,24.752
95.335,65.375,0.250,24.768
95.985,65.188,0.250,24.793
96.303,65.178,0.250,24.805
96.984,65.253,0.250,24.832
98.222,65.478,0.250,24.879
98.426,65.492,0.250,24.887
98.812,65.430,0.250,24.902
99.123,65.265,0.250,24.916
99.339,65.060,0.250,24.927
99.442,64.915,0.250,24.934
99.524,64.748,0.250,24.941
99.598,64.512,0.250,24.950
100.270,61.648,0.250,25.062
100.405,61.292,0.250,25.077
100.564,60.961,0.250,25.091
101.004,60.297,0.250,25.121
101.515,59.762,0.250,25.149
102.134,59.308,0.250,25.178
104.784,58.009,0.250,25.291
104.989,57.890,0.250,25.300
105.157,57.748,0.250,25.308
105.328,57.539,0.250,25.318
105.468,57.219,0.250,25.332
105.504,57.022,0.250,25.339
105.483,56.665,0.250,25.353
105.420,56.453,0.250,25.361
104.928,55.305,0.250,25.409
104.660,54.471,0.250,25.442
104.660,53.744,0.250,25.470
104.810,53.261,0.250,25.489
105.081,52.817,0.250,25.509
105.400,52.496,0.250,25.526
105.751,52.272,0.250,25.542
108.350,51.020,0.250,25.652
108.885,50.855,0.250,25.673
109.394,50.838,0.250,25.693
109.757,50.904,0.250,25.707
110.129,51.045,0.250,25.722
110.623,51.387,0.250,25.745
110.851,51.640,0.250,25.758
111.248,52.262,0.250,25.786
111.839,53.362,0.250,25.833
111.969,53.551,0.250,25.842
112.232,53.783,0.250,25.855
112.408,53.877,0.250,25.863
112.741,53.967,0.250,25.876
113.056,53.961,0.250,25.888
113.221,53.925,0.250,25.895
113.451,53.835,0.250,25.904
116.088,52.584,0.250,26.015
116.851,52.373,0.250,26.045
117.216,52.324,0.250,26.059
117.598,52.305,0.250,26.074
118.359,52.372,0.250,26.103
119.102,52.573,0.250,26.132
121.769,53.835,0.250,26.245
122.000,53.925,0.250,26.254
122.181,53.964,0.250,26.261
122.355,53.974,0.250,26.268
122.667,53.929,0.250,26.280
122.985,53.787,0.250,26.293
123.256,53.544,0.250,26.307
123.382,53.362,0.250,26.315
123.977,52.256,0.250,26.363
124.493,51.493,0.250,26.398
124.947,51.124,0.250,26.421
